Sample Number,Follow Number,Date_Collected,Who_Collected,Time_Collected,Orangutan_ID,First_Urine_Day,Dirt_Fecal,CAMP/LAB_specgravitymeter,Site,Species,Age_Class,Creatinine_Result,CV,Status
469,5733,07-Sep-13,Wendy,5:04:00 AM,Henk,TRUE,TRUE,1.050,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,1.561,0.932066579,
470,5734,08-Sep-13,Paige,2:10:00 PM,Helium,FALSE,TRUE,1.042,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,,,
471,5735,09-Sep-13,Idun,5:06:00 AM,Helium,TRUE,FALSE,1.040,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,1.49,1.4,ok
472,5737,10-Sep-13,Anna,2:25:00 PM,Sidony,FALSE,FALSE,1.037,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,,,
391,5515,04-May-13,Abuk,11:41:00 AM,Gismo,FALSE,FALSE,1.005,Tuanan,Pongo pygmaeus wurmbii,adult unflanged male,,,
392,5548,15-Jun-13,Abuk,4:59:00 AM,Mindy,TRUE,FALSE,1.026,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,1.41,4.1915803,ok
393,5549,16-Jun-13,Idun,5:29:00 AM,Mindy,TRUE,FALSE,1.014,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.3861,4.0772871,ok
394,5552,17-Jun-13,Abuk,6:21:00 AM,Chaz,FALSE,FALSE,1.036,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,0.2203,5.0224729,ok
395,5555,18-Jun-13,Suwi,5:36:00 AM,Mindy,TRUE,FALSE,1.013,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.3354,2.1477945,ok
396,5556,18-Jun-13,Idun,5:26:00 AM,Chaz,TRUE,FALSE,1.039,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,0.3860,2.1477945,ok
397,5557,19-Jun-13,"Tim, Idun",5:02:00 AM,Mindy,TRUE,FALSE,1.010,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.3885,2.255854,ok
398,5564,23-Jun-13,Abuk,5:24:00 AM,Bobo,TRUE,FALSE,1.037,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,0.3149,9.4157991,ok
399,5570,27-Jun-13,Abuk,5:38:00 AM,Jinak,TRUE,FALSE,1.010,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,1.336,2.0,ok
631,6334,28-Jun-14,Ern,5:35:00 AM,Mindy,TRUE,FALSE,1.02,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.306,2.3,ok
632,6338,29-Jun-14,Abuk,6:02:00 AM,Mindy,TRUE,FALSE,1.037,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.464,1.6,ok
633,6344,30-Jun-14,Idun,7:18:00 AM,Kerry,TRUE,FALSE,1.011,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.366,1.3,ok
634,6369,06-Jun-14,Abuk,5:24:00 AM,Kondor,TRUE,FALSE,1.020,Tuanan,Pongo pygmaeus wurmbii,adult female no dependent,0.608,3,ok
635,6372,07-Jul-14,Abuk,5:18:00 AM,Katmandun,TRUE,FALSE,1.041,,Pongo pygmaeus wurmbii,adult flanged male,1.117,2.8,ok
636,6374,08-Jul-14,Yann,5:23:00 AM,Katmandun,TRUE,FALSE,1.042,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,0.982,4.2,ok
637,6376,09-Jul-14,Yann,6:10:00 AM,Katmandun,TRUE,FALSE,1.040,,Pongo pygmaeus wurmbii,adult flanged male,0.888,5.2,ok
638,6378,10-Jul-14,Idun,5:19:00 AM,Katmandun,TRUE,FALSE,1.042,,Pongo pygmaeus wurmbii,adult flanged male,0.852,4.7,ok
639,6382,11-Jul-14,Tono,5:43:00 AM,Katmandun,FALSE,FALSE,1.042,,Pongo pygmaeus wurmbii,adult flanged male,0.908,2.6,ok
640,6385,11-Jul-14,Abuk,6:15:00 AM,Dayak,TRUE,FALSE,1.020,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,1.342,3,ok
641,6388,12-Jul-14,Suwi,6:35:00 AM,Dayak,FALSE,FALSE,1.048,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,1.27,1.3,ok
642,6391,13-Jul-14,idun,,Dayak,TRUE,FALSE,1.023,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,0.982,0.7,ok
643,6397,14-Jul-14,2014,5:41:00 AM,Guapo,TRUE,FALSE,1.044,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,1.26,0.5,ok
644,6394,14-Jul-14,Abuk,12:29:00 PM,Kondor,FALSE,FALSE,1.024,Tuanan,Pongo pygmaeus wurmbii,adult female no dependent,0.894,2.8,ok
645,6403,15-Jul-14,Rahmatol,5:31:00 AM,Jinak,TRUE,FALSE,1.034,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.717,3.1,ok
646,6400,15-Jul-14,Alysse,5:58:00 AM,Sidony,TRUE,FALSE,1.027,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,1.34,0.8,ok
647,6405,16-Jul-14,Alysse,7:17:00 AM,Sidony,FALSE,FALSE,1.020,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.854,1.8,ok
400,5575,29-Jun-13,Suwi,5:14:00 AM,Jinak,TRUE,FALSE,1.020,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.667,0.9,ok
267,4636,15-Oct-11,Idun,4:49:00 AM,Kondor,TRUE,TRUE,1.024,Tuanan,Pongo pygmaeus wurmbii,independent immature (older juvs),0.676,2.3,ok
268,4638,17-Oct-11,Idun,,Kondor,FALSE,TRUE,1.099,Tuanan,Pongo pygmaeus wurmbii,independent immature (older juvs),0.327,1.8,ok
269,4640,19-Oct-11,Idun,5:08:00 AM,Kondor,TRUE,TRUE,1.028,Tuanan,Pongo pygmaeus wurmbii,independent immature (older juvs),0.191,2.1,ok
270,4640,19-Oct-11,Idun,9:39:00 AM,Kondor,FALSE,TRUE,1.026,Tuanan,Pongo pygmaeus wurmbii,independent immature (older juvs),0.49,3.7,ok
271,4642,20-Oct-11,Idun,11:49:00 AM,Kondor,FALSE,TRUE,1.027,Tuanan,Pongo pygmaeus wurmbii,independent immature (older juvs),0.495,4.1,ok
272,4908,10-Apr-12,Idun,3:09:00 PM,Tomi,FALSE,TRUE,1.028,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,1.054,2.2,ok
273,4929,29-Apr-12,Idun,11:09:00 AM,Milo,FALSE,TRUE,1.013,Tuanan,Pongo pygmaeus wurmbii,independent immature (older juvs),0.372,1.3,ok
274,4937,03-May-12,Idun,6:49:00 AM,Mindy,FALSE,TRUE,1.014,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.203,3.4,ok
275,4962,20-May-12,Idun,11:33:00 AM,Juni,FALSE,TRUE,1.012,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,1.264,3.5,ok
276,4979,29-May-12,Idun,5:11:00 AM,Tomi,TRUE,TRUE,1.023,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,0.952,0.7,ok
277,5018,25-Jun-12,Idun,9:33:00 AM,Kondor,FALSE,TRUE,1.021,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.564,0.1,ok
278,5024,28-Jun-12,Idun,2:40:00 PM,Kondor,FALSE,TRUE,1.031,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.987,1.5,ok
