sample_number,follow_number,Date_Collected,Orangutan_ID,Time_Collected,First_Urine_Day,Site,Age_Class,Analysis_Date,Creatinine_Result,CV,SGmeter,Sex,Habitat_Wide,HI_Low_FAI_Quartiles,SG-1,Cr/(SG-1)
587,6241,19-May-14,Dayak,2:06:00 PM,FALSE,Tuanan,adult flanged male,20-May-15,0.317,2.5,1.016,Male,2.699460108,Low,0.016,19.8125
869,7063,15-May-15,Dayak,5:24:00 AM,TRUE,Tuanan,adult flanged male,04-Sep-19,0.357,2.5,1.013,Male,1.951,Low,0.013,27.46153846
1294,8222,05-Aug-16,Dayak,6:32:00 AM,TRUE,Tuanan,adult flanged male,18-Jul-19,0.266,2.7,1.012,Male,0.478755236,Low,0.012,22.16666667
851,7031,05-May-15,Dayak,5:13:00 AM,FALSE,Tuanan,adult flanged male,04-Sep-19,0.334,2.9,1.016,Male,1.951,Low,0.016,20.875
793,6842,15-Feb-15,Dayak,5:18:00 AM,TRUE,Tuanan,adult flanged male,04-Feb-17,1.125,3,1.033,Male,4.366,High,0.033,34.09090909
640,6385,11-Jul-14,Dayak,6:15:00 AM,TRUE,Tuanan,adult flanged male,20-May-15,1.342,3,1.02,Male,3.427540589,Low,0.02,67.1
516,5972,02-Jan-14,Dayak,6:40:00 AM,TRUE,Tuanan,adult flanged male,29-Apr-15,0.033,3.4,,Male,6.146572104,High,,
530,6064,17-Mar-14,Dayak,5:40:00 PM,TRUE,Tuanan,adult flanged male,29-Apr-15,0.542,3.9,1.021,Male,3.973902728,Low,0.021,25.80952381
854,7035,07-May-15,Dayak,5:38:00 AM,TRUE,Tuanan,adult flanged male,04-Sep-19,0.626,4.1,1.022,Male,1.951,Low,0.022,28.45454545
795,6843,16-Feb-15,Dayak,5:34:00 AM,TRUE,Tuanan,adult flanged male,04-Feb-17,0.966,5.3,1.018,Male,4.366,High,0.018,53.66666667
1091,7718,14-Feb-16,Dayak,5:56:00 AM,TRUE,Tuanan,adult flanged male,24-Jun-19,0.156,6.2,1.01,Male,1.086637298,Low,0.01,15.6
798,6850,18-Feb-15,Dayak,5:52:00 AM,TRUE,Tuanan,adult flanged male,26-Jul-19,1.062,7,1.045,Male,4.366,High,0.045,23.6
1088,7713,12-Feb-16,Dayak,5:47:00 AM,TRUE,Tuanan,adult flanged male,24-Jun-19,0.238,15.4,1.014,Male,1.086637298,Low,0.014,17
25,3491,18-Jun-09,Dayak,5:17:00 AM,TRUE,Tuanan,adult unflanged male,,1.523,,1.046,Male,6.16,High,0.046,33.10869565
289,5247,01-Oct-12,Deri,9:52:00 AM,FALSE,Tuanan,semi-independent immature (juveniles),08-Apr-15,1.121,6.1,1.025,Male,6.55,High,0.025,44.84
26,,01-Jul-09,Deri,6:08:00 AM,FALSE,Tuanan,dependent immature non-clinging infant (4yrs-weaned),,0.159,,,Male,4.02,High,,
1138,7823,23-Apr-16,Desy,6:12:00 AM,FALSE,Tuanan,adult female with dependent,17-Jun-19,0.174,0.4,1.012,Female,1.17959304,Low,0.012,14.5
1433,8936,19-May-17,Desy,4:40:00 AM,TRUE,Tuanan,adult female with dependent,03-Apr-20,0.344,0.4,1.013,Female,2.866831073,Low,0.013,26.46153846
600,6268,25-May-14,Desy,6:22:00 AM,TRUE,Tuanan,adult female with dependent,20-May-15,0.238,0.5,1.016,Female,2.699460108,Low,0.016,14.875
1436,8940,20-May-17,Desy,5:38:00 AM,TRUE,Tuanan,adult female with dependent,03-Apr-20,0.299,0.5,1.013,Female,2.866831073,Low,0.013,23
1211,8039,13-Jun-16,Desy,6:30:00 AM,TRUE,Tuanan,adult female with dependent,14-Jun-19,0.541,0.7,1.019,Female,0.623515439,Low,0.019,28.47368421
